year,country,total_killed
2000,Afghanistan,8
2001,Afghanistan,2
2002,Afghanistan,3
2003,Afghanistan,13
2004,Afghanistan,26
2005,Afghanistan,20
2006,Afghanistan,30
2007,Afghanistan,21
2008,Afghanistan,32
2009,Afghanistan,24
2010,Afghanistan,34
2011,Afghanistan,31
2012,Afghanistan,11
2013,Afghanistan,48
2014,Afghanistan,42
2015,Afghanistan,41
2016,Afghanistan,14
2017,Afghanistan,15
2018,Afghanistan,14
2019,Afghanistan,18
2020,Afghanistan,2
2021,Afghanistan,21
2022,Afghanistan,9
2023,Afghanistan,0
2000,CAR,0
2001,CAR,1
2002,CAR,0
2003,CAR,0
2004,CAR,0
2005,CAR,0
2006,CAR,2
2007,CAR,2
2008,CAR,0
2009,CAR,4
2010,CAR,0
2011,CAR,1
2012,CAR,0
2013,CAR,4
2014,CAR,10
2015,CAR,6
2016,CAR,5
2017,CAR,17
2018,CAR,10
2019,CAR,6
2020,CAR,3
2021,CAR,8
2022,CAR,2
2023,CAR,2
2000,DR Congo,2
2001,DR Congo,7
2002,DR Congo,0
2003,DR Congo,4
2004,DR Congo,1
2005,DR Congo,0
2006,DR Congo,2
2007,DR Congo,0
2008,DR Congo,4
2009,DR Congo,7
2010,DR Congo,2
2011,DR Congo,5
2012,DR Congo,1
2013,DR Congo,2
2014,DR Congo,2
2015,DR Congo,0
2016,DR Congo,3
2017,DR Congo,0
2018,DR Congo,7
2019,DR Congo,12
2020,DR Congo,2
2021,DR Congo,6
2022,DR Congo,6
2023,DR Congo,4
2000,Ethiopia,1
2001,Ethiopia,0
2002,Ethiopia,0
2003,Ethiopia,0
2004,Ethiopia,0
2005,Ethiopia,0
2006,Ethiopia,0
2007,Ethiopia,0
2008,Ethiopia,3
2009,Ethiopia,0
2010,Ethiopia,0
2011,Ethiopia,1
2012,Ethiopia,0
2013,Ethiopia,1
2014,Ethiopia,0
2015,Ethiopia,0
2016,Ethiopia,0
2017,Ethiopia,0
2018,Ethiopia,2
2019,Ethiopia,5
2020,Ethiopia,14
2021,Ethiopia,20
2022,Ethiopia,2
2023,Ethiopia,6
2000,Iraq,2
2001,Iraq,0
2002,Iraq,1
2003,Iraq,29
